,content,label
0,"據美國消費者新聞與商業頻道（CNBC）報道，當地時間週一，世界衛生組織官員稱，攜帶新冠病毒的無症狀感染者並不是病毒傳播的主要原因。這一結論讓一些研究人員對疫情可能由於無症狀感染而難以控制的擔憂產生了懷疑。
有些人，特別是年輕人和一些健康的人，被新冠病毒感染後並沒有出現症狀或只出現輕微症狀。而另一些人可能直到感染後幾天後纔出現症狀。
最早爆發疫情的初步證據表明，即使攜帶病毒者沒有症狀，病毒也可能通過人與人之間的接觸傳播。但世衛組織官員現在表示，雖然可以出現無症狀傳播，但這不是病毒傳播的主要方式。
世衛組織新發病和人畜共患病部門負責人Maria Van Kerkhove在週一日內瓦總部的新聞發佈會上說：“從我們掌握的數據來看，一個無症狀感染者實際上傳染給第二個個體的情況仍然很少見。這是非常罕見的。”
Image
Van Kerkhove說，政府的應對措施應該集中於發現和隔離有症狀的感染者，並追蹤任何可能與他們接觸過的人。她承認，一些研究表明在療養院和家庭環境中存在無症狀或症狀前傳播。
Van Kerkhove補充說，需要更多的研究和數據來“真正回答”新冠病毒是否可以通過無症狀攜帶者廣泛傳播的問題。
她說：“我們收到一些國家的報告，這些國家正在進行非常詳細的接觸者追蹤。在他們跟蹤的無症狀感染者中，沒有發現二次傳播。這是非常罕見的。”
如果無症狀傳播被證明不是新冠病毒傳播的主要驅動因素，那麼政策影響可能是巨大的。美國疾病控制和預防中心（CDC）4月1日曾發表的一份報告指出，“症狀前傳播的可能性”是社交距離重要性的一個原因。要控制大流行，僅僅限制有症狀的人與他人接觸可能是不夠的，因爲沒有症狀的人可能也會傳播病毒。”
Van Kerkhove說，可以肯定的是，病毒的無症狀和症狀前傳播似乎仍在發生，但仍然很少見。這一發現對於如何篩選病毒並限制其傳播具有重要意義。她說：“我們真正想關注的是有症狀的病例。如果我們能跟蹤所有有症狀的病例，隔離這些病例，並隔離與其接觸過的人，我們將大大減少疫情的傳播。”",0
1,"本文轉自【環球時報新媒體】；
據今日俄羅斯電視臺(RT) 18日報道，一名意大利議員近日要求以“反人類罪”逮捕比爾·蓋茨，並將其斥爲“疫苗罪犯”和全球化主義者的工具。
比爾·蓋茨和他支持抗擊新冠病毒的努力一直引來各種瘋狂的陰謀論，這些理論認爲這位億萬富翁的活動背後可能存在險惡動機。上週，意大利國會議員薩拉·庫尼亞爾(Sara Cunial)發表了一次在任何議會都很少能聽到的演講：公開抗議比爾·蓋茨。

庫尼亞爾在她充滿激情的講話中呼籲其他議員反對任何針對新冠病毒的強制疫苗接種計劃。她聲稱，這樣的努力是由腐敗的精英階層——也就是所謂的“深層政府”——推動的。她指責比爾·蓋茨是接種疫苗運動背後的“主要罪犯”之一。她聲稱，幾十年來蓋茨一直致力於“人口減少政策”以及“全球政治獨裁控制計劃”，目的是獲得農業、技術和能源領域的領先地位。
作爲知名的鼓吹“反疫苗運動”(Anti Vax)的活動家，庫尼亞爾將蓋茨列爲“罪魁禍首”，主要是因爲他的基金會多年來一直在欠發達國家開展疫苗接種運動。她還指責蓋茨讓非洲數百萬婦女絕育，讓印度數十萬兒童癱瘓，甚至還在自己有關蓋茨“罪惡”的一大堆驚天大陰謀中加入了轉基因產品和5G技術。

這位意大利議員還嚴厲反對該國率先實施的抗擊新冠病毒的封鎖措施。庫尼亞爾宣稱，這種措施也在爲全球主義者的目的服務，而意大利人則受到了“僞科學的神聖審判”。她說道，“我們的孩子將失去更多，他們是‘被強姦的靈魂’。通過這種方式，上學的權利在被授予時會有一個手鍊，讓他們習慣於緩刑，讓他們適應奴役和非自願治療。所有這些的真正目標是完全控制，對人類的絕對統治，讓（人類）變成豚鼠和奴隸，侵犯（人類）的主權和自由意志。”
在庫尼亞爾結束演講之際，她還懇求意大利總理將蓋茨送上國際法庭。她說道，“下次你（指意大利總理孔特）接到慈善家比爾·蓋茨的電話時，把它直接轉給國際刑事法庭，罪名是反人類罪。”

報道稱，雖然比爾·蓋茨過去常常成爲各種陰謀論攻擊的目標，但在此次的新冠病毒大流行中，他正在成爲更多的陰謀論傳播者的攻擊目標。他支持的對新冠病毒疫苗的研究，以及微軟最近的一項專利（專利中含糊地描述了一種追蹤“身體活動”的設備），都引發了很多爭議。
比爾·蓋茨已經退出微軟董事會，不再與公司有任何關係。儘管“邪惡的”專利WO/2020/060606從未提及任何植入物，但一些陰謀論還是認爲，出於某些原因，這位億萬富翁可能正計劃在新冠病毒疫苗的幌子下“將微芯片偷偷植入人體”。",0
2,"新冠疫情大流行以來，世界各地不斷涌現出各種“特效藥”，各種傳統醫學更是首當其衝，儘管WHO等主流機構一直強調尚沒有被證實的針對性治療方法。

比如，在非洲國家，人們正在推廣一種由鮮綠色植物製成的飲料，作爲治療COVID-19的首選方法，在當地甚至被譽爲“綠色黃金”。

東非島國馬達加斯加總統安德烈·拉霍利納（Andry Rajoelina）是這種“綠色黃金”神藥的主要推動者，這種神藥被冠以Covid-Organics，以草藥口服液形式出售。
拉霍利納斷言馬達加斯加的這種抗新冠神藥具有“改變歷史”的潛力，在產品發佈會上親自示範服用，並已經推動在這個印度洋島國廣泛分發，及出口到非洲其他許多地區。

坦桑尼亞和科摩羅等東非國家以及大西洋沿岸的幾內亞比紹和赤道幾內亞等國家都是這種神藥熱情的擁躉。
幾內亞比紹總統烏馬羅·西索科·恩巴羅（Umaro Sissoco Embalo）還親自推動該國Covid-Organics訂單的交付事宜。
製作這種抗新冠神藥的植物就是大家耳熟能詳的黃花蒿，因爲我國科學家從中發現了有效的抗瘧疾成分青蒿素而聞名於世。
黃花蒿是一種隨處生長的雜草，也是目前非洲種植的主要藥用植物之一。

在馬達加斯加，Covid-Organics以瓶裝飲料形式出售，一瓶330毫升瓶裝Covid-Organics售價30歐分，不到2.5元人民幣。
當然，不同製造商出品的Covid-Organics有各自不同的商標，像比利時農藝師範·達姆（Van Damme）的產品就冠以“綠獅”商標銷售。
據範·達姆介紹，自從新冠大流行以來，蒿的需求量出現大幅度增加。馬達加斯加總統親自推廣Covid-Organics以來更是進入瘋狂狀態，短短的數週內銷售額猛增了15倍，迫使範·達姆擴大了生產規模以應對日益增加的訂單。
當然，隨着需求的增加，價格也水漲船高，短時間飆漲了三分之二。
當然，這種抗新冠神藥收穫的也不都是讚歎，還有來自非洲和西方的批評。
批評者認爲，雖然這種植物被證明含有抗瘧疾的成分，但尚無臨牀試驗證明其具有預防或治療COVID-19的功效。
當地社會學家馬塞爾·拉扎菲瑪哈特拉質疑Covid-Organics的一個理由是，執行大流行以來，率先發現疫情，同時也是青蒿素的“母國”中國並沒有使用黃花蒿及相關產品進行抗疫，儘管當局也對幾種傳統中成藥進行了推廣。
對此，WHO和非洲疾病控制與預防中心都採取了審慎的態度，強調對任何傳統配方藥物的使用都需要首先進行實證檢驗以證明它們是安全有效的。
位於加蓬的非洲疾病預防控制中心負責人約翰·恩肯加鬆說：“如果針對這場COVID-19的戰爭的解決方案最終來自非洲國家，我們將會感到無比（捂鼻）的自豪。” “但是在批准這種補救措施之前，我們必須首先給出安全有效的證據。”
當然，也不是所有非洲國家對Covid-Organics都一樣熱情，其中一些則謹慎得多，已經將庫存的Covid-Organics移交有司專家進行分析。
比如，領導尼日利亞抗疫的Boss Mustapha就強調：“在投放市場之前，它們將接受與所有其他產品相同的測試程序。” “不會有任何例外。”
即使在馬達加斯加，也不乏對Covid-Organics的批評，尤其是一些醫學專家堪稱嚴厲的批判。
但是，作爲Covid-Organics狂熱的捍衛者，總統拉霍利納馬達加斯加對來自各方的批評予以了堅決回擊，他指責西方對這種抗新冠神藥的嘲笑是出於對傳統非洲醫學居高臨下的倨。
他對法國媒體說：“如果是歐洲國家首先發現了這種有效藥物，還會有那麼多質疑和批評嗎？我認爲不會。”
爲了證明自己的觀點，這位總統也祭出了“不看廣告看療效”法寶，他引用了馬達加斯加的新冠疫情統計數據爲自己作證：
根據官方統計，擁有2600萬人口的馬達加斯加，僅確診新冠患者405例，其中僅有2例死亡，就是Covid-Organics有效的最好證明。
總部位於馬達加斯加的Bionexx公司自2005年以來就一直致力於開發蒿屬植物抗擊瘧疾的研究和推廣，是世界上該領域的第三大生產商，目標是每年生產2500噸青蒿。
Bionexx公司的首席執行官查爾斯·吉布蘭也深信該作物客觀的前景，但是，強調要想開發並證明一種產品的有效性至少需要4年的時間。
拉霍利納爲Covid-Organics站臺似乎還有經濟方面的考量，他將蒿吹捧成馬達加斯加的新“綠色黃金”，“所有馬達加斯加人的生活都會改變。”
他指出，大米的價格每噸僅有350美元，而蒿的易手價格則高達每噸3000美元，幾乎是大米的10倍。
作爲世界上最貧窮的國家之一，推動蒿屬植物的藥用價值的開發，符合馬達加斯加的利益。
但是，當地農民卻似乎並沒有從黃花蒿的漲價中獲得實際的利益，反而紛紛放棄了種植。

因爲，據他們稱，我們從每公斤幹蒿中僅獲得了1050 阿里亞里（27美分）的收益，而遠低於預期中的3000 阿里亞里。
社會學家馬塞爾·拉扎菲瑪哈特拉對政府重點開發蒿屬植物持有長期的批評，他認爲馬達加斯加政府應該把重點放在確保這個90％人口生活在極度貧困以下的前法國殖民地2600萬人口的糧食安全上，而不是指望這種所謂的綠色奇蹟，每年卻需要進口30萬至100萬噸大米。",0
3,"【文/觀察者網 熊超然】“我想到消毒劑能在一分鐘內把病毒消滅，我們有辦法這樣做嗎？通過把消毒劑注射到體內，清洗病毒，因爲消毒劑進入肺部，作用會很大……”
這樣一個讓人瞠目結舌的點子，就出自正在領導美國抗擊新冠肺炎疫情的總統特朗普。從疫情初期的“瘋狂推薦藥物”，到如今的“消毒劑洗肺論”，特朗普在抗疫中的言論變得越來越離譜。
特朗普對於治療新冠肺炎的種種建議，讓一些專家感到無比尷尬，但更多的是讓大量專家感到憤怒。有醫學專家就表示，把消毒劑注射進體內的做法只有想要自殺的人才會做。

美國全國廣播公司報道截圖
綜合美國全國廣播公司（NBC）和《獨立報》（The Independent）等消息，在4月23日的白宮疫情記者會上，美國國土安全部主管科技事務的副部長威廉·布萊恩（William Bryan）透露，最近的一項研究表明：新冠病毒在一些特定環境下的存活率會大大降低。
“新冠病毒在高溫和潮溼的環境下將會難以生存，特別是在陽光的直接照射之下，病毒會死得更快。”
布萊恩所說的內容，立刻引起了特朗普的興趣。特朗普隨後與記者會現場所有人分享了自己的“突發奇想”。
特朗普轉頭詢問在場官員和專家：“看看有什麼方法可以用光和熱來治療新冠肺炎？也許你們可以，也許你們不行，我不是醫生，但我是個常會想到好注意的人。”
特朗普說完仍不罷休，繼續追問坐在一旁的白宮新冠病毒事務協調員黛博拉·伯克斯博士（Dr.Deborah Birx）：“這想法你聽說過嗎？用光和熱來對付特定的病毒，消滅新冠病毒？”
黛博拉·伯克斯博士顯然沒想到自己會需要面對這樣的問題，回答的話語中似乎略帶無奈，甚至有點不知所云：“這是一種治療方法，當你發燒發熱的時候是件好事……它可以幫助你的身體做出反應，但我沒見過……”
獲得這樣的答覆，特朗普面露失望的表情，但他很快又想到了另一個神奇的點子，足以讓所有人聽完後目瞪口呆。
特朗普表示，利用紫外線或是強光直接照射進身體，這樣的方法可以嘗試。“你們可能會說這沒有試過，不過我覺得可以去試試，這聽起來很有趣。”
他還說，自己記得消毒劑只需一分鐘就能很快消滅病毒，“我們有辦法這麼做嗎？通過注射消毒劑到體內來清洗病毒，因爲當消毒劑進入肺部，將會有很大作用，這方法值得檢驗檢驗，但也得問問醫師，不過這也很有趣。”
值得注意的是，特朗普在講出這番話的時候，坐在一旁的黛博拉·伯克斯博士始終沒有看向特朗普，雙腿還不斷分開、合攏、再分開，顯得非常尷尬不安。
“消毒劑洗肺論”一出，立刻引發了專家和媒體對特朗普的批評。全球衛生政策專家，同時也是肺科方面的醫學專家馮·古普塔（Vin Gupta）就向NBC表示，特朗普發表的是“錯誤的醫學信息”。
“這種將任何清潔劑或消毒劑注射進體內的想法都是極不負責任的，非常危險，只會在有些人想要自殺的時候纔會發生。”
事實上，疫情期間特朗普多次在公開場合推薦未經證實的藥物和治療方法，比如：他曾力薦一款長期被用作抗瘧疾藥物“羥氯喹”，稱其可能是疫情“規則改變者”，但公共衛生專家安東尼·福奇（Anthony Fauci）對“羥氯喹”的功效一直持懷疑態度，甚至多次出面反對特朗普的說法。
據NBC報道，今年3月底，亞利桑那州一名男子就因服用含氯喹添加劑後不幸身亡。據其妻子透露，他們觀看了總統特朗普談論“氯喹”潛在好處的簡報會，“氯喹”這個名字引起了他們的注意，他們曾經用它來治療錦鯉魚。
爲防止感染新冠肺炎，夫妻兩人服用了與“磷酸氯喹”或“氯喹”有着相同活性成分的魚缸清潔添加劑，沒想到悲劇發生，丈夫不幸死亡，妻子則一度被送入重症病房治療。
就在21日，美國抗擊疫情的核心機構——生物醫學高級研究和發展管理局（BARDA）的主任裏克·布萊特（Rick Bright）被撤職。撤職後的布萊特立即將矛頭對準特朗普政府，認爲後者在抗擊疫情中 “將政治和任人唯親置於科學之前”，自己因爲不贊同特朗普推薦的“氯喹”和“羥氯喹”，才落得如今的境地。
本文系觀察者網獨家稿件，未經授權，不得轉載。",0
4,"據美國媒體CNN報道，因爲和新冠肺炎名稱(coronavirus)相似，有38%的美國人表示再也不喝科羅娜啤酒(corona beer)了。
小編：看來美國人也不怎麼科學嘛。也不能光調侃國內超市嫌棄“武漢熱乾麪”的童鞋了。",0
5,"　　法國科學家Didier Raoulta團隊在今天被同行評審的學術期刊International Journal of Antimicrobial Agents接收發表的一篇臨牀研究論文中顯示：硫酸羥氯喹對於治療COVID-2019病人有顯著療效。

　　論文的標題爲：Hydroxychloroquine and azithromycin as a treatment of COVID‐19: results of an open‐label non‐randomized clinical trial。

　　

　　

　　在一項 36 人COVID-2019病人（6例無症狀，22例有上呼吸道感染症狀，8例有下呼吸道感染症狀）參與的臨牀實驗中，第6天患者鼻咽拭子病毒轉陰率：接受羥氯喹和阿奇黴素聯合治療的爲100％；而僅接受羥氯喹單藥治療的患者爲57.1％；對照組爲12.5％（p <0.001），並且與無症狀的的患者相比，具有症狀的患者的藥物療效更顯著。

　　

　　該試驗入組了20人接受羥氯喹治療，每人每日接受600mg 羥氯喹治療，另外16人爲對照來自另一個臨牀現場。觀察指標是研究每日採集鼻咽拭子，進行病毒載量檢測。研究終點是接受治療第6天是否依然具有病毒載量。

　　研究人員還發現，羥氯喹聯合阿奇黴素治療效果最佳，在對比僅用羥氯喹治療、用羥氯喹和阿奇黴素聯合治療、以及對照組的PCR核酸陽性率後發現的。

　　據瞭解，2020年，羥氯喹在美國一個月的治療批發價約爲25美元。阿奇黴素專利保護也到期，一個療程的批發價約爲4美元。所以這個治療可以說是大部分人都能承擔的。

　　磷酸氯喹和硫酸羥氯喹之前被中國科學院武漢病毒所的研究人員（Wang M, et al.. Cell Res 2020;10-0282；Yao X, et al. Clin Infect Dis. 2020 Mar 9. pii: ciaa237. doi: 10.1093/cid/ciaa237）發現擁有體外抑制新冠病毒活性。實驗推斷，羥氯喹的活性應該比瑞德西韋高一些。

　　

　　磷酸氯喹和硫酸羥氯喹一直被中國醫生用來治療COVID-2019患者，並被收納在第7版COVID-2019治療方案中。這次臨牀實驗與之前最大的改進是發現與大環內脂抗菌素阿奇黴素聯合用藥時對消除病毒的效率明顯更高，甚至在入組後第3天就開始轉陰，第6天完全轉陰，比之前文獻中報道的轉陰時間大大縮短（COVID-19中國患者的平均病毒轉陰時間爲20天，最長持續時間甚至爲37天）。硫酸羥氯喹的劑量是口服200mg每天3次，連續10天；阿奇黴素的劑量是第一天口服500mg ，之後第2到第4天每天250mg。

　　

　　阿奇黴素的作用機制通過干擾細菌的蛋白質合成來防止細菌的生長，它與細菌核糖體的50S亞基結合，從而抑制mRNA的翻譯。

　　阿奇黴素增強COVID-2019療效的作用機制還不是很清楚，但是阿奇黴素之前被證明在體外可以抑制塞卡病毒和埃博拉病毒，並且在給病毒感染患者服用後可預防嚴重的呼吸道感染。

　　羥氯喹是二代半抗瘧疾藥物，1944年科學家在氯喹的基礎上研究出一種新型抗瘧疾藥——羥氯喹，羥氯喹是氯喹的一種衍生物，治療作用與氯喹相近，但毒副作用顯著減少。它跟氯喹的區別在於用羥乙基替代了氯喹中的一個乙基，正是因爲這一不同，使羥氯喹在人體胃腸道吸收更快，體內分佈更廣。

　　在動物學模型上氯喹的毒性是羥氯喹的兩倍，臨牀上研究也發現基本氯喹要比羥氯喹毒性更大, 氯喹更容易造成視網膜視力副作用。硫酸羥氯喹作爲FDA 妊娠C類用藥，孕婦可用，視網膜副作用一般只會發生於累計用藥超過1000g的慢性病患者。

　　這種組合的另一個優點是既可以作爲針對SARS-CoV-2的抗病毒療法，又可以防止細菌的交叉感染。考慮到新冠病毒早期主要在鼻腔裏和上呼吸道繁殖，建議在口服的基礎上，硫酸羥基氯喹可以做成口鼻噴霧劑同時使用，除了增加鼻腔和上呼吸道的局部濃度外，這樣還可以防止視網膜藥物濃度過高。

　　當然，該研究也有一些不足：主要問題是病例數少，沒有對輕重症病人分組/分層，不是隨機性研究。另外，600mg 羥氯喹可能有病人耐受及不良反應等問題。所以，需要質控良好的擴大臨牀試驗進一步確認這一結果。

　　https://leiterreports.typepad.com/files/gautret-p-et-al.-hydroxychloroquine-covid-accepted.pdf",0
6,"　　英國《衛報》剛剛援引意大利《信使報》（Il Messaggero）3月2日的報道稱，因“身體不適”，羅馬教皇方濟各接受了新型冠狀病毒檢測，檢測結果呈陰性。
　　

　　英國《衛報》截圖
　　報道稱，目前，梵蒂岡新聞發言人布魯尼（Matteo Bruni）並未對此置評。
　　近日以來，羅馬天主教教皇方濟各因“身體不適”多次取消工作安排。
　　據美聯社此前報道，2月26日，方濟各身體不適，出現咳嗽和打噴涕的症狀。第二天，他取消了一場原本與羅馬神職人員共同出席的彌撒，還缺席了28日的一場會議。《紐約每日新聞》評論說，在三天的時間裏，方濟各缺席了兩場原定舉行的官方活動，這是這位羅馬教皇做出的罕見決定——他從未缺席過這麼多活動。
　　

　　方濟各（左）此前被拍到擦鼻涕、咳嗽
　　據俄塔社報道，3月1日，方濟各出席傳統佈道會時宣佈，因患感冒，自己將無法參加即將到來的傳統精神靜修周活動。報道稱，宣佈這一消息時，方濟各還咳嗽了兩聲。《紐約每日新聞》表示，這是方濟各自擔任羅馬教皇7年以來首次缺席該活動。
　　教皇方濟各今年83歲。據外媒報道，方濟各曾因肺結核切除了一部分肺。此外，他還患有坐骨神經痛，但教皇本人總體健康情況良好。
　　欄目主編：顧萬全 文字編輯：盧曉川 題圖來源：視覺中國 圖片編輯：徐佳敏",0
7,"　　牛津大學(Oxford University)醫學教授約翰•貝爾爵士表示，英國首個COVID-19疫苗人體試驗的結果最早將於下月公佈。(Shutterstock)

　　阿拉伯新聞報
　　2020年5月15日

　　研究小組希望在9月之前生產出100萬劑疫苗

　　倫敦:英國牛津大學醫學教授、冠狀病毒特別工作組成員約翰·貝爾爵士表示，英國首個新型冠狀病毒疫苗人體試驗的結果最早將於下個月公佈。

　　自從4月底開始測試以來，已經有幾百人注射了疫苗。預計將有大約1110人蔘加試驗。研究小組希望在9月之前生產出100萬劑疫苗。與此同時，英國政府的一位首席科學顧問表示，新鮮空氣和陽光是預防COVID-19的措施之一。

　　緊急情況科學顧問小組的成員艾倫·佩恩教授說，科學表明，“在陽光下，通風良好，都是阻止病毒傳播的高度保護。”他補充說，利用外部空間是“風險最低的活動形式之一”。

　　倫敦衛生和熱帶醫學學院的專家說，病毒顆粒在新鮮空氣中會被大大稀釋，並被紫外線和乾燥(去除水分)所破壞。另一種保護措施可能以一種在大多數商店都能找到的普通物品:漱口水。

　　研究人員說，漱口水可以通過破壞包裹病毒的外脂膜來減少COVID-19在感染早期的傳播，從而中和病毒。

　　卡迪夫大學系統免疫研究所聯席主任瓦萊麗·奧唐奈教授說:“一些漱口水含有足夠的已知抗病毒成分，可以有效地針對類似包膜病毒中的脂質。”

　　她補充說，“迫切需要對其進行研究，以確定其對這種新病毒的潛在用途”。",0
8,"鋅對人體的作用
鋅可以阻止新冠病毒在人體細胞內的繁殖，是預防和治療新冠病毒感染的重要補充劑之一。鋅是人體中含量僅次於鐵的第二高的微量礦物質。鋅是3,000種蛋白質中的輔助因子，在幾乎每個細胞結構和生物過程中都起着至關重要的作用。但人體並不儲存礦物質，必須每天攝入以滿足人體的需求。
鋅對您的免疫健康很重要，因爲它不僅有助於阻止病毒在細胞內的複製，而且還可以作爲人體T細胞的信號分子，T細胞是負責破壞感染細胞的白細胞。鋅可以保護大腦裏的海馬避免因情緒壓力而引發的炎症，因此被認爲是治療抑鬱症的重要因素。
鋅還可以釋放甲狀腺激素，促進新陳代謝。頭髮稀疏與人體內低鋅量有關。鋅對於傷口癒合以及味覺和嗅覺很重要。與許多其他維生素和礦物質一樣，一般每日平均推薦計量是基於避免鋅缺乏而不是保持人體最佳健康的計量。但是，攝入過多的鋅會抑制您的免疫系統並對健康產生負面影響。
鋅提高硫酸羥氯喹的有效性
紐約大學的醫生使用硫酸羥氯喹（HCQ）和阿奇黴素治療新冠病毒和硫酸鋅進行治療實驗。醫生表示這個研究沒有利益衝突，他們也未獲得研究經費。他們收集了2020年3月2日至2020年4月5日住院的患者的數據。排除了接受實驗藥物治療的人。結果表明，那些接受硫酸鋅治療的人出院的頻率更高，並且不太需要呼吸機。該組成員因病毒死亡的風險較低，需要臨終關懷或ICU的機會也較低。他們總結說：“這項研究提供了第一個活體試驗證據，表明硫酸鋅與硫酸羥氯喹聯合使用可能在新冠病毒的治療中發揮作用。”
這些觀察結果支持了全世界其他醫生的發現。例如，在一項對30個國家/地區的6,200多名醫生進行的國際民意測驗中，有37％的人將硫酸羥氯喹作爲15種選擇中新冠病毒的“最有效療法”。該藥適合用於早期預防和治療。
美國以外的硫酸羥氯喹的成功療法
法國屢獲殊榮的微生物學家和傳染病專家Didier Raoult是法國大學醫院研究所的研究單位主任。他使用硫酸羥氯喹和阿奇黴素的組合來治療新冠病毒感染患者，10天內1061名患者中91.7％的SARS-CoV-2得以恢復和未檢出病毒。
有人說硫酸羥氯喹和阿奇黴素的副作用之一是心臟毒性的風險。但是，在他的患者中，每天200毫克的劑量連續10天每天服用3次，在第1天服用500毫克阿奇黴素，然後在接下來的4天每天服用250毫克，則沒有毒性。而且該藥物已經在美國獲得批准並使用了65年。
瑞士政策研究小組報告說，一些美國醫生正在使用硫酸羥氯喹，阿奇黴素和鋅治療，結果是“……住院率降低了84％，已經住院的患者（如果及早接受治療）的死亡率降低了50％，並且8至12小時內患者的病情得到了改善。意大利醫生報告死亡人數減少了66％。
美國醫生還報告說，向硫酸羥氯喹和阿奇黴素中添加鋅可使住院患者的死亡率降低45％。另一項美國研究報告稱，基於大劑量鋅的早期門診治療，可快速解決新冠病毒症狀，例如呼吸急促。”
爲什麼有些硫酸羥氯喹實驗出現高死亡率
在2020年5月22日發表於《柳葉刀》上的一項研究中，研究人員宣稱，單獨或與大環內酯類同時使用硫酸羥氯喹與存活率降低和室性心律失常增加有關。不久之後，世衛組織在COVID-19療法中停止使用該藥物，同時幾項藥物試驗的負責人宣佈終止對此藥進行調查。
《柳葉刀》上發表的研究結果令人震驚，以至於引起了其他科學家的仔細研究，其中200名科學家發表了有關數據收集完整性的公開信。他們確定了研究中有10個可疑點，包括：
•數據源的來源
•沒有對研究進行倫理審查
•來自澳大利亞的數據與來自（美國）政府的數據不一致
•66％的數據來源於北美，使用的硫酸羥氯喹劑量平均比FDA的建議高100倍
由於科學家無法對該研究中使用的數據庫進行獨立的同行審閱，《柳葉刀》只能把該文章撤回。然而，此時文章已造成很多人攻擊這個低成本藥物。
牛津康復試驗和世衛組織團結試驗在他們的實驗中使用超大劑量的硫酸羥氯喹，梅麗爾·納斯（Meryl Nass）醫生稱之爲“潛在的致命劑量”，她說：“世衛組織的團結試驗繼續使用過量的危險的硫酸羥氯喹劑量。這些試驗不是在測試硫酸羥氯喹在Covid-19上的益處，而是在測試患者是否能夠耐受有毒的非治療劑量。這些試驗中使用的高劑量療法沒有醫學依據…這是完全不道德的。過量給藥使得無法評估硫酸羥氯喹是否有真正有效。”
但是越來越多的醫生公佈自己使用羥氯喹與鋅和阿奇黴素治療的證據，紐約家庭醫生弗拉基米爾·澤連科（Vladimir Zelenko）是另一位對此一直大聲疾呼的醫生，他發表了使用羥氯喹，阿奇黴素和硫酸鋅的方案所獲得的積極效果。澤連科醫生說：“人們並沒有因新冠病毒喪生。他們死於政治。這就是政治上的死亡…以我個人的觀點，任何阻礙獲得醫療服務，阻礙獲得藥物治療，危害人類罪和犯有大規模殺人罪的人。” 當被問及牛津康復試驗中使用的2400 mg硫酸羥氯喹是否具有致命性時，澤連科醫生回答：“除非您正在治療一隻非常胖的大象。”
弗拉基米爾·澤連科醫生
槲皮素和EGCG是有效的鋅離子載體
在澤連科療法中，硫酸羥氯喹起到鋅離子載體的作用，將鋅移入細胞中，從而阻止了病毒的複製。由於鋅是治療的關鍵組成部分，因此他可以開出較低的硫酸羥氯喹的劑量。但是如果人們無法獲得硫酸羥氯喹或者對於硫酸羥氯喹有禁忌，那麼可以用槲皮素或者EGCG來將鋅移入細胞。ECGC是茶中常見的一種多酚。
預防或發病後早期使用鋅和槲皮素
正如澤連科醫生指出，預防性地使用鋅和鋅離子載體的組合可以降低感染新冠病毒的風險。儘管鋅缺乏症在發展中國家很常見，但據估計美國人口中也有12％和多達40％的老年人有鋅缺乏症的危險，症狀可能包括：
•食慾不振
•抑鬱
•味覺或嗅覺受損
•經常感冒，流感或感染
•痤瘡或皮疹
與澤連科醫生使用硫酸羥氯喹和鋅來預防COVID-19的療法幾乎相同，您可以使用槲皮素和鋅來達到相同的功能。但是太多的鋅會對您的免疫系統產生負面影響，因爲它會抵消鋅和銅的平衡。如果爲了預防新冠病毒而服用鋅，澤連科醫生建議將您的每日攝入量限制在每天150 mg硫酸鋅或更少，但您如果已感染病毒，可以短期加大劑量。",0
9,"美國中文網綜合報道 私營公司Bodysphere週二宣佈，美國食品和藥品監督管理局（FDA)已授權其生產的新冠病毒快速檢測試劑在緊急情況下使用，這種試劑可將檢測時間縮短到僅2分鐘。

自疫情爆發以來，FDA一直在批准檢測試劑在緊急情況下使用，他們於上週批准了雅培實驗室（ABT.N）研發的試劑，該檢測可以在數分鐘內提供結果。

Bodysphere表示，正在與聯邦和州政府合作，將檢測試劑分發到第一線。

該檢測使用方法類似於葡萄糖檢測，但僅供醫學專業人員嚴格使用。",0
